Pincode,Neighbourhood,Borough,Latitude,Longitude
560096,Nandinilayout,Bangalore North,13.015811,77.5390237
560057,Peenya Dasarahalli,Bangalore North,13.0458075,77.5110614
560012,Science Institute,Bangalore North,13.0214516,77.5671844
560020,Seshadripuram,Bangalore North,12.9889216,77.5740957
560090,Tarabanahalli,Bangalore North,13.0862953,77.4973109
560097,Vidyaranyapura,Bangalore North,13.0809029,77.5564981
560022,Yeshwanthpur Bazar,Bangalore North,13.0205281,77.5546449
562149,Bagalur Bangalore,Bangalore North,13.151285,77.668837
562157,Bettahalsur,Bangalore North,13.1623413,77.609935
562130,Chikkanahalli,Bangalore South,12.8812885,77.3549396
562162,Dasanapura,Bangalore North,13.0650166,77.4316379
